KOD_PRACOVISTE,NAZEV,ADRESA,TELEFON
10,Český úřad zeměměřický a katastrální,"Pod sídlištěm 1800/9, Praha, 18211",284041111
20,Český úřad zeměměřický a katastrální - SCD,"Pod sídlištěm 1800/9, Praha, 18211",284041111
30,Zeměměřický úřad,"Pod sídlištěm 1800/9, Praha, 18211",284041111
100,Katastrální úřad pro hlavní město Prahu,"Pod sídlištěm 1800/9, Praha, 18214",284041111
101,"Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha","Pod sídlištěm 1800/9, Praha, 18214",284041111
200,Katastrální úřad pro Středočeský kraj,"Pod sídlištěm 1800/9, Praha, 18212",284041111
201,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Benešov","Tyršova 1902, Benešov, 25616",317716450
202,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Beroun","Politických vězňů 198/16, Beroun, 26601",311625147
203,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kladno","Ctiborova 3091, Kladno, 27201","312610306, 312610307"
204,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kolín","Rorejcova 8, Kolín, 28002",321737011
205,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kutná Hora","Rudní 432/4, Kutná Hora, 28434",327513203
206,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Mělník","Mladoboleslavská 3671, Mělník, 27601",315636311
207,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Mladá Boleslav","Lukášova 55, Mladá Boleslav, 29301",326722771
208,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Nymburk","Palackého třída 255/54, Nymburk, 28837",325501001
209,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Praha-východ","Pod sídlištěm 1800/9, Praha, 18212",284041111
210,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Praha-západ","Pod sídlištěm 1800/9, Praha, 18213",284041111
211,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Příbram","Pod Šachtami 353, Příbram, 26101",318401611
212,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Rakovník","Na Sekyře 2123, Rakovník, 26901",313521611
231,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Slaný","Netovická 376, Slaný, 27401",312522312
299,Zeměměřický a katastrální inspektorát v Praze,"Pod sídlištěm 1800/9, Praha, 18211",284041111
300,Katastrální úřad pro Jihočeský kraj,"Lidická tř. 124/11, České Budějovice, 37086",386713111
301,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště České Budějovice","Lidická tř. 124/11, České Budějovice, 37086",386713111
302,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Český Krumlov","Za Soudem 285, Český Krumlov, 38111",380301841
303,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Jindřichův Hradec","Scheinerova 1114, Jindřichův Hradec, 37711",384370140
304,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Pelhřimov","U Stínadel 1316, Pelhřimov, 39301",565301751
305,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Písek","Nádražní 1988, Písek, 39701",382206811
306,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Prachatice","Za Baštou 232, Prachatice, 38311",388302331
307,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Strakonice","Krále Jiřího z Poděbrad 406, Strakonice, 38641",383313161
308,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Tábor","Štítného 2598, Tábor, 39002",381203011
399,Zeměměřický a katastrální inspektorát v Českých Budějovicích,"Lidická tř. 124/11, České Budějovice, 37086",386713111
400,Katastrální úřad pro Plzeňský kraj,"Radobyčická 2465/12, Plzeň, 30100",377162111
401,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Domažlice","Benešova 377, Domažlice, 34401",379410231
402,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Cheb","Nová 1452/2, Cheb, 35002",354548311
403,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Karlovy Vary","Sokolovská 875/167, Karlovy Vary, 36005",353417111
404,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Klatovy","Kollárova 528, Klatovy, 33901",376350211
405,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-město","Radobyčická 2465/12, Plzeň, 30100",377162111
406,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-jih","Radobyčická 2465/12, Plzeň, 30100",377162111
407,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-sever","Radobyčická 2465/12, Plzeň, 30100",377162111
408,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Rokycany","Srbova 79, Rokycany, 33701",371510011
409,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Sokolov","Boženy Němcové 1932, Sokolov, 35601",352357711
410,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Tachov","Zámecká 1551, Tachov, 34701",374616661
435,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Kralovice","nám. Osvobození 886, Kralovice, 33141",373396403
460,Katastrální úřad pro Karlovarský kraj,"Sokolovská 875/167, Karlovy Vary, 36005",353417111
499,Zeměměřický a katastrální inspektorát v Plzni,"Radobyčická 2465/12, Plzeň, 30100",377162111
500,Katastrální úřad pro Liberecký kraj,"Rumjancevova 149/10, Liberec, 46001",485341400
501,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Česká Lípa","Střelnice 2956, Česká Lípa, 47001",487714700
502,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Děčín","Tržní 1906/24, Děčín, 40590",412557071
503,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Chomutov","Školní 5335, Chomutov, 43001",474611910
504,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Jablonec nad Nisou","Podzimní 3697/26, Jablonec nad Nisou, 46601",483356030
505,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Liberec","Rumjancevova 149/10, Liberec, 46001",485341400
506,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Litoměřice","Žitenická 1218/3, Litoměřice, 41201",416575300
507,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Louny","Pod Nemocnicí 2504, Louny, 44017",415627621
508,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Most","Jana Kubelíka 223, Most, 43401",476149811
509,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Teplice","J. V. Sládka 1151/10, Teplice, 41501",417512601
510,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Ústí nad Labem","Krčínova 797/2, Ústí nad Labem, 40007",475246500
531,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Rumburk","Vrchlického 282/19, Rumburk, 40801",412332019
532,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Frýdlant","Míru 163, Frýdlant, 46401",482416000
533,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Žatec","Smetanovo náměstí 1018, Žatec, 43801",415237481
560,Katastrální úřad pro Ústecký kraj,"Krčínova 797/2, Ústí nad Labem, 40007",475246500
599,Zeměměřický a katastrální inspektorát v Liberci,"Rumjancevova 149/10, Liberec, 46001",485341400
600,Katastrální úřad pro Pardubický kraj,"Čechovo nábřeží 1791, Pardubice, 53003",466023111
601,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Havlíčkův Brod","Na Písku 1346, Havlíčkův Brod, 58001",569668111
602,"Katastrální úřad pro Královéhradecký kraj, Katastrální pracoviště Hradec Králové","Collinova 481, Hradec Králové, 50003",495801111
603,"Katastrální úřad pro Pardubický kraj, Katastrální pracoviště Chrudim","Novoměstská 172, Chrudim, 53701",469660111
604,"Katastrální úřad pro Královéhradecký kraj, Katastrální pracoviště Jičín","Šafaříkova 842, Jičín, 50601",493547111
605,"Katastrální úřad pro Královéhradecký kraj, Katastrální pracoviště Náchod","Hrašeho 11, Náchod, 54701",491407855
606,"Katastrální úřad pro Pardubický kraj, Katastrální pracoviště Pardubice","Čechovo nábřeží 1791, Pardubice, 53003",466023111
607,"Katastrální úřad pro Královéhradecký kraj, Katastrální pracoviště Rychnov nad Kněžnou","Zborovská 17, Rychnov nad Kněžnou, 51601",494389111
608,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Semily","Pekárenská 34, Semily, 51301",481629111
609,"Katastrální úřad pro Pardubický kraj, Katastrální pracoviště Svitavy","Lanškrounská 1900/2a, Svitavy, 56802",461544011
610,"Katastrální úřad pro Královéhradecký kraj, Katastrální pracoviště Trutnov","Horská 822, Trutnov, 54101",499316111
611,"Katastrální úřad pro Pardubický kraj, Katastrální pracoviště Ústí nad Orlicí","Mírové nám. 1389, Ústí nad Orlicí, 56201",465513111
660,Katastrální úřad pro Královéhradecký kraj,"Collinova 481, Hradec Králové, 50003",495801111
699,Zeměměřický a katastrální inspektorát v Pardubicích,"Čechovo nábřeží 1791, Pardubice, 53003",466023111
700,Katastrální úřad pro Jihomoravský kraj,"Moravské náměstí 1/1, Brno, 60151",542521102
701,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Blansko","Seifertova 1336/6, Blansko, 67811",516499061
702,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Brno-město","Moravské náměstí 1/1, Brno, 60151",542521111
703,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Brno-venkov","Úzká 471/6, Brno, 65677",542532211
704,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Břeclav","Sady 28. října 594/14, Břeclav, 69002",519361361
705,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Zlín","třída Tomáše Bati 1565, Zlín, 76096",577577711
706,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Hodonín","Dobrovolského 255/1, Hodonín, 69501",518309560
707,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Jihlava","Fibichova 4666/6, Jihlava, 58601",567109111
708,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Kroměříž","Oskol 3183/41a, Kroměříž, 76701",573301500
709,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Prostějov","Komenského 82/14, Prostějov, 79601",582302511
710,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Třebíč","Jungmannova 178/2, Třebíč, 67401",568404211
711,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Uherské Hradiště","Svatováclavská 568, Uherské Hradiště, 68611",572523101
712,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Vyškov","II. odboje 401/1, Vyškov, 68201",517324511
713,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Znojmo","Pražská 2734/63a, Znojmo, 66952",515224006
714,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Žďár nad Sázavou","Strojírenská 1276/8, Žďár nad Sázavou, 59101",566585714
731,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Boskovice","Hybešova 1007/5, Boskovice, 68011",516428961
735,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Hustopeče","Nádražní 1169/35, Hustopeče, 69301",519361111
737,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Valašské Klobouky","Československé armády 259, Valašské Klobouky, 76601",577311227
738,"Katastrální úřad pro Jihomoravský kraj, Katastrální pracoviště Kyjov","Masarykovo náměstí 57/31, Kyjov, 69701",518697011
740,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Holešov","nám. Dr. E. Beneše 49, Holešov, 76901",573301300
741,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Moravské Budějovice","nám. ČSA 43, Moravské Budějovice, 67602",568408041
742,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Uherský Brod","Svat. Čecha 1365, Uherský Brod, 68801",572610450
746,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Velké Meziříčí","Třebíčská 1540/70, Velké Meziříčí, 59401",566502811
760,Katastrální úřad pro Vysočinu,"Fibichova 4666/6, Jihlava, 58601",567109111
770,Katastrální úřad pro Zlínský kraj,"třída Tomáše Bati 1565, Zlín, 76096",577577712
799,Zeměměřický a katastrální inspektorát v Brně,"Moravské náměstí 1/1, Brno, 60200",542521401
800,Katastrální úřad pro Moravskoslezský kraj,"Praskova 194/11, Opava, 74601",553698111
801,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Bruntál","Družební 717/2, Bruntál, 79201",554721111
802,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Frýdek-Místek","tř. T. G. Masaryka 453, Frýdek-Místek, 73801",558604000
803,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Karviná","Slámova 183/1, Karviná, 73301",595392444
804,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Nový Jičín","Slovanská 232/5, Nový Jičín, 74101",556312911
805,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Olomouc","Vejdovského 1148/2a, Olomouc, 77211",585552111
806,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Opava","Praskova 194/11, Opava, 74601",553698111
807,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Ostrava","Vítkovická 3056/2, Ostrava, 70200",596944111
808,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Přerov","Husova 2846/2, Přerov, 75163",581706911
809,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Šumperk","Americká 479/2, Šumperk, 78791",583312111
810,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Vsetín","Smetanova 810, Vsetín, 75511",571428070
811,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Jeseník","Husova 10/1, Jeseník, 79001",584458175
831,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Krnov","U Požárníků 37/2, Krnov, 79401",554684971
832,"Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Třinec","  869, Třinec, 73961","558340350, 558340351, 558340353"
835,"Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Hranice","Čechova 183, Hranice, 75301",581658015
836,"Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Valašské Meziříčí","40.pluku 1351, Valašské Meziříčí, 75701",571757950
860,Katastrální úřad pro Olomoucký kraj,"Jeremenkova 110/15, Olomouc, 77211",585552111
899,Zeměměřický a katastrální inspektorát v Opavě,"Praskova 194/11, Opava, 74601",553698180
